"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1933-01-01",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
" 1933-01-02",-3,0,0,0,.5181,.6843,0,2590.3208,3.7766,1.4579808155191,3.7593,1.45127075400639,.045,1.73568604773045E-02,0,.4104425601062798939369825813,0,.0018883190456643147414423745,0,3.3469259999999999999999999982,0,0,0,0,.0055044500181114718548969641,0,.0394553874000000000000000001,0,50
" 1933-01-03",-2,0,0,0,.487,.6433,0,2434.8316,3.5499,1.4579808155191,3.5336,1.45127075400639,.0423,1.73568604773045E-02,0,.3858049155988386573003484215,0,.0017749688771251134512303347,0,3.1460199999999999999999999991,0,0,0,0,.0051740342768197004310650869,0,.0370869980000000000000000001,0,50
" 1933-01-04",-5,0,0,0,.4578,.6047,0,2288.8417,3.3371,1.4579808155191,3.3217,1.45127075400639,.0397,1.73568604773045E-02,0,.3626724648072861135772063806,0,.001668543638496667223764368,0,2.9573879999999999999999999991,0,0,0,0,.0048638047062177799945412665,0,.0348633012000000000000000001,0,50
" 1933-01-05",-2,0,0,0,.4303,.5684,0,2151.3512,3.1366,1.4579808155191,3.1222,1.45127075400639,.0373,1.73568604773045E-02,0,.3408867662878445056187678149,0,.0015683143897883702629659405,0,2.7797380000000000000000000007,0,0,0,0,.0045716364462330946519246548,0,.0327690662000000000000000001,0,50
" 1933-01-06",-1,.2,0,0,.4045,.5343,0,2022.3601,2.9486,1.4579808155191,2.935,1.45127075400639,.0351,1.73568604773045E-02,0,.3204478200405138334250327238,0,.0014742811310002225688350521,0,2.6130699999999999999999999992,0,0,0,0,.0042975294968656444032152518,0,.0308042930000000000000000001,0,50
" 1933-01-07",-4,0,0,0,.3802,.5022,0,1900.8685,2.7714,1.4579808155191,2.7587,1.45127075400639,.033,1.73568604773045E-02,0,.3011971846215163398472124641,0,.0013857149221416183452931689,0,2.4560920000000000000000000019,0,0,0,0,.0040393589980428133550122095,0,.0289537508000000000000000001,0,50
" 1933-01-08",-3,0,0,0,.3574,.4721,0,1786.8764,2.6052,1.4579808155191,2.5932,1.45127075400639,.031,1.73568604773045E-02,0,.2831348600308520248853070346,0,.0013026157632125575923402908,0,2.3088039999999999999999999994,0,0,0,0,.0037971249497646015073155278,0,.0272174396000000000000000001,0,50
" 1933-01-09",-1,0,0,0,.336,.4438,0,1679.8838,2.4492,1.4579808155191,2.438,1.45127075400639,.0292,1.73568604773045E-02,0,.266181625546632009964922114,0,.0012246191842177374119371508,0,2.1705599999999999999999999976,0,0,0,0,.0035697649219947009134247827,0,.0255877440000000000000000001,0,50
" 1933-01-10",-5,0,0,0,.3158,.4171,0,1578.8908,2.302,1.4579808155191,2.2914,1.45127075400639,.0274,1.73568604773045E-02,0,.2501790397250785379372690585,0,.001150996245166552008005215,0,2.0400679999999999999999999992,0,0,0,0,.0033551540546604956799391262,0,.0240494332000000000000000001,0,50
" 1933-01-11",-13,0,0,0,.2969,.3922,0,1484.3973,2.1642,1.4579808155191,2.1543,1.45127075400639,.0258,1.73568604773045E-02,0,.2352063232880804873767421894,0,.0010821114160543042785837502,0,1.9179739999999999999999999982,0,0,0,0,.0031543547777982937535589821,0,.0226101226000000000000000001,0,50
" 1933-01-12",-9,.08,0,0,.2791,.3687,0,1395.4035,2.0345,1.4579808155191,2.0251,1.45127075400639,.0242,1.73568604773045E-02,0,.2211050347918601011345528636,0,.0010172357568903884275942226,0,1.8029860000000000000000000018,0,0,0,0,.0029652422313354792408835026,0,.0212545814000000000000000001,0,50
" 1933-01-13",-11,0,0,0,.2623,.3465,0,1311.4093,1.912,1.4579808155191,1.9032,1.45127075400639,.0228,1.73568604773045E-02,0,.2077959535145285006363067579,0,.0009560047976795015569973651,0,1.6944580000000000000000000019,0,0,0,0,.0027867539852357441952122634,0,.0199751942000000000000000001,0,50
" 1933-01-14",-7,0,0,0,.2466,.3257,0,1232.9147,1.7976,1.4579808155191,1.7893,1.45127075400639,.0214,1.73568604773045E-02,0,.1953583001779745644563981948,0,.0008987830084169465648324446,0,1.593036000000000000000000002,0,0,0,0,.0026199524695353965632456888,0,.0187795764000000000000000001,0,50
" 1933-01-15",-2,0,0,0,.2318,.3062,0,1158.9198,1.6897,1.4579808155191,1.6819,1.45127075400639,.0201,1.73568604773045E-02,0,.18363363333842053544603853,0,.0008448414491121176550209273,0,1.4974279999999999999999999998,0,0,0,0,.0024627128241618204515829305,0,.0176524972000000000000000001,0,50
" 1933-01-16",-15,0,0,0,.2179,.2878,0,1089.4246,1.5884,1.4579808155191,1.5811,1.45127075400639,.0189,1.73568604773045E-02,0,.172621952995866413605227764,0,.000794180119765014827562813,0,1.4076340000000000000000000002,0,0,0,0,.0023150350491150158602239886,0,.0165939566000000000000000001,0,50
" 1933-01-17",-16,0,0,0,.2048,.2705,0,1023.9292,1.4929,1.4579808155191,1.486,1.45127075400639,.0178,1.73568604773045E-02,0,.1622440384284233203595715744,0,.0007464345503803351844188348,0,1.3230079999999999999999999997,0,0,0,0,.002175856714358674842468439,0,.0155963392000000000000000001,0,50
" 1933-01-18",-7,0,0,0,.1925,.2543,0,962.4334,1.4032,1.4579808155191,1.3968,1.45127075400639,.0167,1.73568604773045E-02,0,.1524998896360912557090699611,0,.0007016047409580787255889927,0,1.2435499999999999999999999982,0,0,0,0,.0020451778198927973983162818,0,.014659645,0,50
" 1933-01-19",-9,0,0,0,.181,.2391,0,904.9374,1.3194,1.4579808155191,1.3133,1.45127075400639,.0157,1.73568604773045E-02,0,.1433895066188702196537229247,0,.0006596906914982454510732866,0,1.1692600000000000000000000006,0,0,0,0,.0019229983657173835277675169,0,.0137838740000000000000000001,0,50
" 1933-01-20",-2,0,0,0,.1701,.2247,0,850.4412,1.2399,1.4579808155191,1.2342,1.45127075400639,.0148,1.73568604773045E-02,0,.1347544479329824550447418203,0,.0006199634620102295647931826,0,1.098846,0,0,0,0,.0018071934917598173374212963,0,.0129537954000000000000000001,0,50
" 1933-01-21",0,0,0,0,.1599,.2112,0,799.4447,1.1656,1.4579808155191,1.1602,1.45127075400639,.0139,1.73568604773045E-02,0,.1266739343003168404565209704,0,.0005827875224893339647879477,0,1.0329539999999999999999999997,0,0,0,0,.0016988256280564067739780439,0,.0121770246,0,50
" 1933-01-22",0,0,0,0,.1503,.1985,0,751.448,1.0956,1.4579808155191,1.0906,1.45127075400639,.013,1.73568604773045E-02,0,.119068744998984497314666053,0,.0005477984029402557530183148,0,.9709380000000000000000000011,0,0,0,0,.0015968323445708438907373359,0,.0114459462000000000000000001,0,50
" 1933-01-23",-1,0,0,0,.1413,.1866,0,706.4511,1.03,1.4579808155191,1.0253,1.45127075400639,.0123,1.73568604773045E-02,0,.1119388800289854256191770676,0,.000514996103362994929484284,0,.9127979999999999999999999995,0,0,0,0,.001501213641303128687699172,0,.0107605602,0,50
" 1933-01-24",1,0,.0128787377493518047976,1.87796037539103E-04,.133,.1757,0,664.954,1.0485,1.576814324063,.9636,1.44908948819647,.0115,1.73339554345395E-02,0,.1052051186684307467956596929,0,.0004847450937528543922251222,0,.8578880000000000000000000009,0,0,0,0,.0014130319482895691115639765,0,.0101132512,0,50
" 1933-01-25",-4,0,0,0,.1409,.186,0,704.2077,1.0267,1.4579808155191,1.022,1.45127075400639,.0122,1.73568604773045E-02,0,.1115833974269926714145990894,0,.0005133606380555682143553081,0,.9098992412483512404604502409,0,0,0,0,.0014964462599319798179625548,0,.0107263880523261517594466142,0,50
" 1933-01-26",-9,0,0,0,.1324,.1749,0,661.9552,.9651,1.4579808155191,.9607,1.45127075400639,.0115,1.73568604773045E-02,0,.1048883935813731111297231441,0,.0004825589997722341214939896,0,.8553052867734501660328232269,0,0,0,0,.0014066594843360610288848015,0,.0100828047691865826538798174,0,50
" 1933-01-27",-10,0,0,0,.1245,.1644,0,622.2379,.9072,1.4579808155191,.903,1.45127075400639,.0108,1.73568604773045E-02,0,.0985950899664907244619397552,0,.0004536054597859000742043503,0,.8039869695670431560708538309,0,0,0,0,.0013222599152758973671517134,0,.0094778364830353876946470283,0,50
