"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1943-01-01",-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
" 1943-01-02",-16,.53,0,0,.5181,.6843,0,2590.3208,3.7961,1.46548612934261,3.5228,1.35996823206183,.045,1.73677994722022E-02,0,.1739300141476756320104589379,0,1.89803963106967E-03,0,3.346926,0,0,0,0,5.53278552456808E-03,0,.0394553873999999934850253,0,50
" 1943-01-03",-21,.89,0,0,.487,.6433,0,2434.8316,3.5682,1.46548612934261,3.3113,1.35996823206183,.0423,1.73677994722023E-02,0,.1634895133949393864832259965,0,1.78410596473833E-03,0,3.14602,0,0,0,0,5.20066888721223E-03,0,.0370869980000000216125052,0,50
" 1943-01-04",-23,0,0,0,.4578,.6047,0,2288.8417,3.3543,1.46548612934261,3.1128,1.35996823206183,.0398,1.73677994722022E-02,0,.1536868567396369891382106387,0,1.67713287609283E-03,0,2.957388,0,0,0,0,4.88884233381059E-03,0,.03486330120000000288547506,0,50
" 1943-01-05",-19,0,0,0,.4303,.5684,0,2151.3512,3.1528,1.46548612934261,2.9258,1.35996823206183,.0374,1.73677994722022E-02,0,.1444549026978282923629213001,0,1.57638767274518E-03,0,2.779738,0,0,0,0,4.5951700660522E-03,0,.0327690662000000006396936,0,50
" 1943-01-06",-18,0,0,0,.4045,.5343,0,2022.3601,2.9637,1.46548612934261,2.7503,1.35996823206183,.0351,1.73677994722023E-02,0,.135793651269513296157357981,0,1.48187035469539E-03,0,2.61307,0,0,0,0,4.31965208393706E-03,0,.03080429300000001487516082,0,50
" 1943-01-07",-18,0,0,0,.3802,.5022,0,1900.8685,2.7857,1.46548612934261,2.5851,1.35996823206183,.033,1.73677994722022E-02,0,.1276359609707513637363195722,0,1.39284822955547E-03,0,2.456092,0,0,0,0,4.06015258915419E-03,0,.02895375079999999796059588,0,50
" 1943-01-08",-15,.08,0,0,.3574,.4721,0,1786.8764,2.6186,1.46548612934261,2.4301,1.35996823206183,.031,1.73677994722022E-02,0,.1199818318015427396861608462,0,1.30932129732542E-03,0,2.308804,0,0,0,0,3.81667158170359E-03,0,.02721743960000000537951856,0,50
" 1943-01-09",-4,0,0,0,.336,.4438,0,1679.8838,2.4618,1.46548612934261,2.2846,1.35996823206183,.0292,1.73677994722023E-02,0,.1127976930199171056142812485,0,1.23092321181125E-03,0,2.17056,0,0,0,0,3.58814116242979E-03,0,.02558774400000001331628844,0,50
" 1943-01-10",-6,0,0,0,.3158,.4171,0,1578.8908,2.3138,1.46548612934261,2.1472,1.35996823206183,.0274,1.73677994722022E-02,0,.1060164031419338247354796701,0,1.15692128062498E-03,0,2.040068,0,0,0,0,3.37242553302181E-03,0,.02404943319999997413962468,0,50
" 1943-01-11",-11,0,0,0,.2969,.3922,0,1484.3973,2.1754,1.46548612934261,2.0187,1.35996823206183,.0258,1.73677994722023E-02,0,.0996715329095637046150662104,0,1.0876818499606E-03,0,1.917974,0,0,0,0,3.17059259263513E-03,0,.02261012260000002263220726,0,50
" 1943-01-12",-18,0,0,0,.2791,.3687,0,1395.4035,2.0449,1.46548612934261,1.8977,1.35996823206183,.0242,1.73677994722022E-02,0,.0936959408388656192951302156,0,1.02247222743012E-03,0,1.802986,0,0,0,0,2.98050654295879E-03,0,.02125458140000000019571578,0,50
" 1943-01-13",-12,0,0,0,.2623,.3465,0,1311.4093,1.9219,1.46548612934261,1.7835,1.35996823206183,.0228,1.73677994722022E-02,0,.0880560561878697395557806759,0,9.60926066839556E-04,0,1.694458,0,0,0,0,2.8010994848373E-03,0,.01997519419999999398154938,0,50
" 1943-01-14",-3,0,0,0,.2466,.3257,0,1232.9147,1.8068,1.46548612934261,1.6767,1.35996823206183,.0214,1.73677994722023E-02,0,.0827854496985463837896181459,0,9.03409714382899E-04,0,1.593036,0,0,0,0,2.63343931742615E-03,0,.01877957640000002780534848,0,50
