Date,Hour,Site,WL,AWL
3/16/2012,14:00,CB,75.45326531,75.50127248
3/16/2012,16:00,CB,75.45326531,75.50127248
3/16/2012,18:00,CB,75.46346939,75.51472369
3/16/2012,20:00,CB,75.45326531,75.50127248
3/16/2012,22:00,CB,75.44306122,75.48782128
3/17/2012,0:00,CB,75.44306122,75.48782128
3/17/2012,2:00,CB,75.45326531,75.50127248
3/17/2012,4:00,CB,75.45326531,75.50127248
3/17/2012,6:00,CB,75.44306122,75.48782128
3/17/2012,8:00,CB,75.44306122,75.48782128
3/17/2012,10:00,CB,75.44306122,75.48782128
3/17/2012,12:00,CB,75.44306122,75.48782128
3/17/2012,14:00,CB,75.44306122,75.48782128
3/17/2012,16:00,CB,75.44306122,75.48782128
3/17/2012,18:00,CB,75.44306122,75.48782128
3/17/2012,20:00,CB,75.44306122,75.48782128
3/17/2012,22:00,CB,75.43285714,75.47437008
3/18/2012,0:00,CB,75.43285714,75.47437008
3/18/2012,2:00,CB,75.43285714,75.47437008
3/18/2012,4:00,CB,75.43285714,75.47437008
3/18/2012,6:00,CB,75.43285714,75.47437008
3/18/2012,8:00,CB,75.42265306,75.46091888
3/18/2012,10:00,CB,75.42265306,75.46091888
3/18/2012,12:00,CB,75.42265306,75.46091888
3/18/2012,14:00,CB,75.43285714,75.47437008
3/18/2012,16:00,CB,75.42265306,75.46091888
3/18/2012,18:00,CB,75.41244898,75.44746768
3/18/2012,20:00,CB,75.42265306,75.46091888
3/18/2012,22:00,CB,75.42265306,75.46091888
3/19/2012,0:00,CB,75.42265306,75.46091888
3/19/2012,2:00,CB,75.42265306,75.46091888
3/19/2012,4:00,CB,75.41244898,75.44746768
3/19/2012,6:00,CB,75.42265306,75.46091888
3/19/2012,8:00,CB,75.41244898,75.44746768
3/19/2012,10:00,CB,75.41244898,75.44746768
3/19/2012,12:00,CB,75.41244898,75.44746768
3/19/2012,14:00,CB,75.41244898,75.44746768
3/19/2012,16:00,CB,75.41244898,75.44746768
3/19/2012,18:00,CB,75.41244898,75.44746768
3/19/2012,20:00,CB,75.41244898,75.44746768
3/19/2012,22:00,CB,75.4022449,75.43401648
3/20/2012,0:00,CB,75.41244898,75.44746768
3/20/2012,2:00,CB,75.41244898,75.44746768
3/20/2012,4:00,CB,75.41244898,75.44746768
3/20/2012,6:00,CB,75.4022449,75.43401648
3/20/2012,8:00,CB,75.4022449,75.43401648
3/20/2012,10:00,CB,75.4022449,75.43401648
3/20/2012,12:00,CB,75.4022449,75.43401648
3/20/2012,14:00,CB,75.41244898,75.44746768
3/20/2012,16:00,CB,75.41244898,75.44746768
3/20/2012,18:00,CB,75.4022449,75.43401648
3/20/2012,20:00,CB,75.4022449,75.43401648
3/20/2012,22:00,CB,75.4022449,75.43401648
3/21/2012,0:00,CB,75.4022449,75.43401648
3/21/2012,2:00,CB,75.4022449,75.43401648
3/21/2012,4:00,CB,75.4022449,75.43401648
3/21/2012,6:00,CB,75.4022449,75.43401648
3/21/2012,8:00,CB,75.39204082,75.42056527
3/21/2012,10:00,CB,75.39204082,75.42056527
3/21/2012,12:00,CB,75.39204082,75.42056527
3/21/2012,14:00,CB,75.4022449,75.43401648
3/21/2012,16:00,CB,75.42265306,75.46091888
3/21/2012,18:00,CB,75.4022449,75.43401648
3/21/2012,20:00,CB,75.41244898,75.44746768
3/21/2012,22:00,CB,75.41244898,75.44746768
3/22/2012,0:00,CB,75.41244898,75.44746768
3/22/2012,2:00,CB,75.41244898,75.44746768
3/22/2012,4:00,CB,75.41244898,75.44746768
3/22/2012,6:00,CB,75.41244898,75.44746768
