Date,Site,Sample Type,Site Type,TDN (micro.mols/L),TDP (micro.mols/L)
6/18/12,DR,sw,u,27.611,0.564994333
8/20/12,DR,sw,u,20.783,0.345453678
5/15/13,DR,sw,u,38.812,0.564994333
6/11/13,DR,sw,u,40.75833333,1.060036987
7/1/13,DR,sw,u,43.96933333,1.796143889
8/5/13,DR,sw,u,43.748,0.673150391
