"Date","WL.igldm","AWL.igldm"
"2012-07-19",74.5735708433333,74.5908318058333
"2012-07-20",74.53530458,74.5525655416667
"2012-07-21",74.5395563875,74.55681735
"2012-07-22",74.5514614441667,74.5687224108333
"2012-07-23",74.557413975,74.5746749383333
"2012-07-24",74.5633665058333,74.5806274683333
"2012-07-25",74.5353045808333,74.5525655425
"2012-07-26",74.5548628933333,74.5721238541667
"2012-07-27",74.5472096375,74.564470605
"2012-07-28",74.5319031341667,74.5491640958333
"2012-07-29",74.5225491566667,74.5398101191667
"2012-07-30",74.52424988,74.5415108425
"2012-07-31",74.5327534941667,74.5500144558333
"2012-08-01",74.5472096391667,74.5644706033333
"2012-08-02",74.5344542191667,74.55171518
"2012-08-03",74.5285016883333,74.54576265
"2012-08-04",74.5114944566667,74.5287554233333
"2012-08-05",74.5387060241667,74.5559669883333
"2012-08-06",74.5625161425,74.5797771083333
"2012-08-07",74.5370053025,74.554266265
"2012-08-08",74.5251002416667,74.5423612025
"2012-08-09",74.5089433725,74.5262043375
"2012-08-10",74.4885347,74.5057956625
"2012-08-11",74.5012901208333,74.518551085
"2012-08-12",74.521698795,74.5389597583333
"2012-08-13",74.5174469866667,74.5347079508333
"2012-08-14",74.5063922883333,74.5236532533333
"2012-08-15",74.5012901225,74.518551085
"2012-08-16",74.4995894,74.5168503616667
"2012-08-17",74.5080930116667,74.5253539766667
"2012-08-18",74.4987390366667,74.516
"2012-08-19",74.47833036,74.4955913275
"2012-08-20",74.463023855,74.48028482
"2012-08-21",74.4562209641667,74.4734819266667
"2012-08-22",74.4426151808333,74.459876145
"2012-08-23",74.4358122891667,74.4530732558333
"2012-08-24",74.4264583166667,74.4437192783333
"2012-08-25",74.4069,NA
"2012-08-26",74.3983963841667,NA
"2012-08-27",74.404348915,NA
"2012-08-28",74.4026481916667,NA
"2012-08-29",74.3856409666667,NA
"2012-08-30",74.3907431333333,NA
"2012-08-31",74.3975460241667,NA
"2012-09-01",74.3873416891667,NA
"2012-09-02",74.38819205,NA
"2012-09-03",74.3924438558333,NA
"2012-09-04",74.4077503608333,NA
"2012-09-05",74.3992467458333,NA
"2012-09-06",74.3907431341667,NA
"2012-09-07",74.3992467458333,NA
"2012-09-08",74.3983963875,NA
"2012-09-09",74.396695665,NA
"2012-09-10",74.3907431341667,NA
"2012-09-11",74.3898927733333,NA
"2012-09-12",74.3898927733333,NA
"2012-09-13",74.3949949383333,NA
"2012-09-14",74.3941445791667,NA
"2012-09-15",74.391593495,NA
"2012-09-16",74.3941445775,NA
"2012-09-17",74.3958452991667,NA
"2012-09-18",74.3992467483333,NA
"2012-09-19",74.3907431341667,NA
"2012-09-20",74.3958453,NA
"2012-09-21",74.4000971066667,NA
"2012-09-22",74.3992467491667,NA
"2012-09-23",74.3873416891667,NA
"2012-09-24",74.3932942166667,NA
"2012-09-25",74.3924438566667,NA
"2012-09-26",74.3924438575,NA
"2012-09-27",74.3907431341667,NA
"2012-09-28",74.3941445783333,NA
"2012-09-29",74.3941445775,NA
"2012-09-30",74.3983963833333,NA
"2012-10-01",74.3873416891667,NA
"2012-10-02",74.3924438558333,NA
"2012-10-03",74.3941445775,NA
"2012-10-04",74.39669566,NA
"2012-10-05",74.3983963841667,NA
"2012-10-06",74.3915934958333,NA
"2012-10-07",74.3907431333333,NA
"2012-10-08",74.391593495,NA
"2012-10-09",74.3992467458333,NA
"2012-10-10",74.3949949408333,NA
"2012-10-11",74.3898927725,NA
"2012-10-12",74.3822395216667,NA
"2012-10-13",74.3958453008333,NA
"2012-10-14",74.4051992766667,NA
"2012-10-15",74.39499494,NA
"2012-10-16",74.3839402441667,NA
"2012-10-17",74.39542011875,NA
