vec.p,slope
1,s
122,+
328,-
413,+
582,0
660,-
753,+
805,-
861,+
1068,-
1216,+
1312,0
1417,-
1590,+
1775,-
1907,0
2028,+
2247,-
2343,+
2516,-
2596,+
2733,0
2895,-
3107,+
3278,-
3309,+
3375,-
3442,+
3652,-
