vec.p,slope
1,s
104,+
186,0
337,-
516,+
559,0
680,-
740,0
865,+
1071,-
1237,+
1516,-
1592,+
1792,0
1859,+
1905,-
1961,+
2180,-
2330,+
2519,-
2632,0
2676,+
2782,0
2960,-
3132,+
3356,-
3395,+
3470,0
3652,-
