STATION,DATE,PRCP,TMAX,TMIN,WL
WATERTOWN REGIONAL AIRPORT SD US,3/8/1973,0,44,-44,75.209
WATERTOWN REGIONAL AIRPORT SD US,3/9/1973,0,83,-33,75.212
WATERTOWN REGIONAL AIRPORT SD US,3/10/1973,0,56,11,75.2
WATERTOWN REGIONAL AIRPORT SD US,3/11/1973,76,44,6,75.211
WATERTOWN REGIONAL AIRPORT SD US,3/12/1973,0,117,-22,75.268
WATERTOWN REGIONAL AIRPORT SD US,3/13/1973,20,100,22,75.269
WATERTOWN REGIONAL AIRPORT SD US,3/14/1973,165,111,6,75.271
WATERTOWN REGIONAL AIRPORT SD US,3/15/1973,0,6,-22,75.283
WATERTOWN REGIONAL AIRPORT SD US,3/16/1973,0,33,-56,75.304
WATERTOWN REGIONAL AIRPORT SD US,3/17/1973,0,50,-78,75.342
WATERTOWN REGIONAL AIRPORT SD US,3/18/1973,0,67,-33,75.457
WATERTOWN REGIONAL AIRPORT SD US,3/19/1973,0,56,-11,75.454
WATERTOWN REGIONAL AIRPORT SD US,3/20/1973,0,89,-39,75.432
WATERTOWN REGIONAL AIRPORT SD US,3/21/1973,0,117,-22,75.426
WATERTOWN REGIONAL AIRPORT SD US,3/22/1973,25,50,-6,75.443
WATERTOWN REGIONAL AIRPORT SD US,3/23/1973,51,106,17,75.445
WATERTOWN REGIONAL AIRPORT SD US,3/24/1973,76,78,39,75.453
WATERTOWN REGIONAL AIRPORT SD US,3/25/1973,0,94,-6,75.446
WATERTOWN REGIONAL AIRPORT SD US,3/26/1973,0,144,-33,75.47
WATERTOWN REGIONAL AIRPORT SD US,3/27/1973,0,111,28,75.47
WATERTOWN REGIONAL AIRPORT SD US,3/28/1973,36,61,-39,75.446
WATERTOWN REGIONAL AIRPORT SD US,3/29/1973,0,44,-56,75.445
WATERTOWN REGIONAL AIRPORT SD US,3/30/1973,0,89,-67,75.461
WATERTOWN REGIONAL AIRPORT SD US,3/31/1973,0,111,-6,75.467
WATERTOWN REGIONAL AIRPORT SD US,4/1/1973,0,106,0,75.481
WATERTOWN REGIONAL AIRPORT SD US,4/2/1973,0,100,0,75.539
WATERTOWN REGIONAL AIRPORT SD US,4/3/1973,0,106,-6,75.56
WATERTOWN REGIONAL AIRPORT SD US,4/4/1973,0,111,-33,75.581
WATERTOWN REGIONAL AIRPORT SD US,4/5/1973,0,144,0,75.625
WATERTOWN REGIONAL AIRPORT SD US,4/6/1973,0,72,-11,75.607
WATERTOWN REGIONAL AIRPORT SD US,4/7/1973,0,22,-50,75.612
WATERTOWN REGIONAL AIRPORT SD US,4/8/1973,0,22,-39,75.627
WATERTOWN REGIONAL AIRPORT SD US,4/9/1973,0,28,-61,75.602
WATERTOWN REGIONAL AIRPORT SD US,4/10/1973,0,72,-100,75.64
WATERTOWN REGIONAL AIRPORT SD US,4/11/1973,0,150,-44,75.704
WATERTOWN REGIONAL AIRPORT SD US,4/12/1973,0,122,-61,75.686
WATERTOWN REGIONAL AIRPORT SD US,4/13/1973,0,178,-17,75.68
WATERTOWN REGIONAL AIRPORT SD US,4/14/1973,3,206,72,75.67
WATERTOWN REGIONAL AIRPORT SD US,4/15/1973,51,128,-17,75.661
WATERTOWN REGIONAL AIRPORT SD US,4/16/1973,0,133,-67,75.659
WATERTOWN REGIONAL AIRPORT SD US,4/17/1973,0,222,17,75.672
WATERTOWN REGIONAL AIRPORT SD US,4/18/1973,0,244,89,75.672
WATERTOWN REGIONAL AIRPORT SD US,4/19/1973,127,178,78,75.674
WATERTOWN REGIONAL AIRPORT SD US,4/20/1973,0,183,72,75.678
WATERTOWN REGIONAL AIRPORT SD US,4/21/1973,0,111,17,75.67
WATERTOWN REGIONAL AIRPORT SD US,4/22/1973,0,106,17,75.682
WATERTOWN REGIONAL AIRPORT SD US,4/23/1973,0,128,-17,75.686
WATERTOWN REGIONAL AIRPORT SD US,4/24/1973,43,50,-17,75.699
WATERTOWN REGIONAL AIRPORT SD US,4/25/1973,0,111,-28,75.692
WATERTOWN REGIONAL AIRPORT SD US,4/26/1973,0,89,0,75.69
WATERTOWN REGIONAL AIRPORT SD US,4/27/1973,0,117,-56,75.688
WATERTOWN REGIONAL AIRPORT SD US,4/28/1973,0,156,6,75.729
WATERTOWN REGIONAL AIRPORT SD US,4/29/1973,0,106,50,75.737
WATERTOWN REGIONAL AIRPORT SD US,4/30/1973,66,94,39,75.712
WATERTOWN REGIONAL AIRPORT SD US,5/1/1973,175,44,11,75.698
WATERTOWN REGIONAL AIRPORT SD US,5/2/1973,3,144,28,75.696
WATERTOWN REGIONAL AIRPORT SD US,5/3/1973,0,178,-17,75.718
WATERTOWN REGIONAL AIRPORT SD US,5/4/1973,0,206,11,75.733
WATERTOWN REGIONAL AIRPORT SD US,5/5/1973,0,261,106,75.736
WATERTOWN REGIONAL AIRPORT SD US,5/6/1973,0,156,61,75.722
WATERTOWN REGIONAL AIRPORT SD US,5/7/1973,0,217,11,75.709
WATERTOWN REGIONAL AIRPORT SD US,5/8/1973,0,244,56,75.69
WATERTOWN REGIONAL AIRPORT SD US,5/9/1973,33,194,100,75.713
WATERTOWN REGIONAL AIRPORT SD US,5/10/1973,0,183,56,75.713
WATERTOWN REGIONAL AIRPORT SD US,5/11/1973,0,167,39,75.738
WATERTOWN REGIONAL AIRPORT SD US,5/12/1973,0,144,28,75.739
WATERTOWN REGIONAL AIRPORT SD US,5/13/1973,0,156,0,75.736
WATERTOWN REGIONAL AIRPORT SD US,5/14/1973,0,161,-39,75.724
WATERTOWN REGIONAL AIRPORT SD US,5/15/1973,0,256,22,75.727
WATERTOWN REGIONAL AIRPORT SD US,5/16/1973,0,167,11,75.717
WATERTOWN REGIONAL AIRPORT SD US,5/17/1973,0,228,6,75.731
WATERTOWN REGIONAL AIRPORT SD US,5/18/1973,0,256,111,75.742
WATERTOWN REGIONAL AIRPORT SD US,5/19/1973,0,244,78,75.73
WATERTOWN REGIONAL AIRPORT SD US,5/20/1973,5,278,61,75.721
WATERTOWN REGIONAL AIRPORT SD US,5/21/1973,0,250,128,75.731
WATERTOWN REGIONAL AIRPORT SD US,5/22/1973,0,217,89,75.727
WATERTOWN REGIONAL AIRPORT SD US,5/23/1973,13,272,117,75.724
WATERTOWN REGIONAL AIRPORT SD US,5/24/1973,411,133,67,75.729
WATERTOWN REGIONAL AIRPORT SD US,5/25/1973,0,167,67,75.725
WATERTOWN REGIONAL AIRPORT SD US,5/26/1973,18,133,72,75.715
WATERTOWN REGIONAL AIRPORT SD US,5/27/1973,71,183,94,75.702
WATERTOWN REGIONAL AIRPORT SD US,5/28/1973,0,244,89,75.719
WATERTOWN REGIONAL AIRPORT SD US,5/29/1973,0,211,89,75.728
WATERTOWN REGIONAL AIRPORT SD US,5/30/1973,0,256,72,75.736
WATERTOWN REGIONAL AIRPORT SD US,5/31/1973,0,267,100,75.74
WATERTOWN REGIONAL AIRPORT SD US,6/1/1973,0,283,122,75.744
WATERTOWN REGIONAL AIRPORT SD US,6/2/1973,102,222,144,75.744
WATERTOWN REGIONAL AIRPORT SD US,6/3/1973,43,217,183,75.732
WATERTOWN REGIONAL AIRPORT SD US,6/4/1973,0,244,94,75.731
WATERTOWN REGIONAL AIRPORT SD US,6/5/1973,0,222,83,75.725
WATERTOWN REGIONAL AIRPORT SD US,6/6/1973,5,278,83,75.725
WATERTOWN REGIONAL AIRPORT SD US,6/7/1973,0,289,106,75.729
WATERTOWN REGIONAL AIRPORT SD US,6/8/1973,0,283,150,75.724
WATERTOWN REGIONAL AIRPORT SD US,6/9/1973,0,333,111,75.732
WATERTOWN REGIONAL AIRPORT SD US,6/10/1973,0,311,178,75.732
WATERTOWN REGIONAL AIRPORT SD US,6/11/1973,3,228,117,75.726
WATERTOWN REGIONAL AIRPORT SD US,6/12/1973,0,256,106,75.727
WATERTOWN REGIONAL AIRPORT SD US,6/13/1973,0,283,94,75.734
WATERTOWN REGIONAL AIRPORT SD US,6/14/1973,0,311,172,75.741
WATERTOWN REGIONAL AIRPORT SD US,6/15/1973,0,306,200,75.714
WATERTOWN REGIONAL AIRPORT SD US,6/16/1973,15,278,128,75.713
WATERTOWN REGIONAL AIRPORT SD US,6/17/1973,0,294,83,75.683
WATERTOWN REGIONAL AIRPORT SD US,6/18/1973,41,217,94,75.666
WATERTOWN REGIONAL AIRPORT SD US,6/19/1973,38,167,106,75.669
WATERTOWN REGIONAL AIRPORT SD US,6/20/1973,0,222,128,75.661
WATERTOWN REGIONAL AIRPORT SD US,6/21/1973,0,233,122,75.663
WATERTOWN REGIONAL AIRPORT SD US,6/22/1973,0,294,111,75.657
WATERTOWN REGIONAL AIRPORT SD US,6/23/1973,0,283,122,75.652
WATERTOWN REGIONAL AIRPORT SD US,6/24/1973,0,317,128,75.648
WATERTOWN REGIONAL AIRPORT SD US,6/25/1973,0,322,167,75.647
WATERTOWN REGIONAL AIRPORT SD US,6/26/1973,8,294,167,75.626
WATERTOWN REGIONAL AIRPORT SD US,6/27/1973,0,239,150,75.635
WATERTOWN REGIONAL AIRPORT SD US,6/28/1973,0,244,89,75.631
WATERTOWN REGIONAL AIRPORT SD US,6/29/1973,0,206,56,75.647
WATERTOWN REGIONAL AIRPORT SD US,6/30/1973,0,261,72,75.645
WATERTOWN REGIONAL AIRPORT SD US,7/1/1973,127,344,150,75.628
WATERTOWN REGIONAL AIRPORT SD US,7/2/1973,0,278,150,75.622
WATERTOWN REGIONAL AIRPORT SD US,7/3/1973,0,311,128,75.614
WATERTOWN REGIONAL AIRPORT SD US,7/4/1973,0,294,122,75.62
WATERTOWN REGIONAL AIRPORT SD US,7/5/1973,0,328,178,75.645
WATERTOWN REGIONAL AIRPORT SD US,7/6/1973,13,344,211,75.635
WATERTOWN REGIONAL AIRPORT SD US,7/7/1973,0,333,167,75.625
WATERTOWN REGIONAL AIRPORT SD US,7/8/1973,0,289,139,75.623
WATERTOWN REGIONAL AIRPORT SD US,7/9/1973,53,317,189,75.623
WATERTOWN REGIONAL AIRPORT SD US,7/10/1973,0,306,189,75.618
WATERTOWN REGIONAL AIRPORT SD US,7/11/1973,0,367,183,75.618
WATERTOWN REGIONAL AIRPORT SD US,7/12/1973,0,317,183,75.595
WATERTOWN REGIONAL AIRPORT SD US,7/13/1973,0,283,156,75.568
WATERTOWN REGIONAL AIRPORT SD US,7/14/1973,0,256,111,75.589
WATERTOWN REGIONAL AIRPORT SD US,7/15/1973,0,250,67,75.573
WATERTOWN REGIONAL AIRPORT SD US,7/16/1973,0,328,144,75.555
WATERTOWN REGIONAL AIRPORT SD US,7/17/1973,51,344,206,75.53
WATERTOWN REGIONAL AIRPORT SD US,7/18/1973,64,283,161,75.504
WATERTOWN REGIONAL AIRPORT SD US,7/19/1973,0,256,133,75.492
WATERTOWN REGIONAL AIRPORT SD US,7/20/1973,0,244,117,75.486
WATERTOWN REGIONAL AIRPORT SD US,7/21/1973,0,233,139,75.476
WATERTOWN REGIONAL AIRPORT SD US,7/22/1973,25,194,144,75.455
WATERTOWN REGIONAL AIRPORT SD US,7/23/1973,64,256,144,75.431
WATERTOWN REGIONAL AIRPORT SD US,7/24/1973,119,294,144,75.412
WATERTOWN REGIONAL AIRPORT SD US,7/25/1973,5,261,167,75.402
WATERTOWN REGIONAL AIRPORT SD US,7/26/1973,0,283,156,75.401
WATERTOWN REGIONAL AIRPORT SD US,7/27/1973,0,261,144,75.412
WATERTOWN REGIONAL AIRPORT SD US,7/28/1973,0,278,100,75.423
WATERTOWN REGIONAL AIRPORT SD US,7/29/1973,0,294,150,75.447
WATERTOWN REGIONAL AIRPORT SD US,7/30/1973,0,261,111,75.414
WATERTOWN REGIONAL AIRPORT SD US,7/31/1973,0,250,83,75.393
WATERTOWN REGIONAL AIRPORT SD US,8/1/1973,0,278,83,75.405
WATERTOWN REGIONAL AIRPORT SD US,8/2/1973,127,317,117,75.392
WATERTOWN REGIONAL AIRPORT SD US,8/3/1973,0,333,156,75.388
WATERTOWN REGIONAL AIRPORT SD US,8/4/1973,0,333,161,75.383
WATERTOWN REGIONAL AIRPORT SD US,8/5/1973,0,317,206,75.372
WATERTOWN REGIONAL AIRPORT SD US,8/6/1973,3,344,189,75.354
WATERTOWN REGIONAL AIRPORT SD US,8/7/1973,0,300,150,75.344
WATERTOWN REGIONAL AIRPORT SD US,8/8/1973,13,300,183,75.335
WATERTOWN REGIONAL AIRPORT SD US,8/9/1973,0,267,144,75.331
WATERTOWN REGIONAL AIRPORT SD US,8/10/1973,0,294,139,75.333
WATERTOWN REGIONAL AIRPORT SD US,8/11/1973,0,306,106,75.336
WATERTOWN REGIONAL AIRPORT SD US,8/12/1973,86,300,178,75.345
WATERTOWN REGIONAL AIRPORT SD US,8/13/1973,0,278,161,75.322
WATERTOWN REGIONAL AIRPORT SD US,8/14/1973,13,294,128,75.296
WATERTOWN REGIONAL AIRPORT SD US,8/15/1973,23,311,172,75.282
WATERTOWN REGIONAL AIRPORT SD US,8/16/1973,0,328,172,75.26
WATERTOWN REGIONAL AIRPORT SD US,8/17/1973,0,356,183,75.242
WATERTOWN REGIONAL AIRPORT SD US,8/18/1973,0,356,217,75.236
WATERTOWN REGIONAL AIRPORT SD US,8/19/1973,13,317,156,75.225
WATERTOWN REGIONAL AIRPORT SD US,8/20/1973,0,289,139,75.202
WATERTOWN REGIONAL AIRPORT SD US,8/21/1973,13,278,178,75.215
WATERTOWN REGIONAL AIRPORT SD US,8/22/1973,20,206,150,75.217
WATERTOWN REGIONAL AIRPORT SD US,8/23/1973,0,206,161,75.199
WATERTOWN REGIONAL AIRPORT SD US,8/24/1973,0,244,156,75.203
WATERTOWN REGIONAL AIRPORT SD US,8/25/1973,0,261,183,75.196
WATERTOWN REGIONAL AIRPORT SD US,8/26/1973,0,378,194,75.184
WATERTOWN REGIONAL AIRPORT SD US,8/27/1973,0,378,189,75.164
WATERTOWN REGIONAL AIRPORT SD US,8/28/1973,0,350,200,75.185
WATERTOWN REGIONAL AIRPORT SD US,8/29/1973,0,322,156,75.195
WATERTOWN REGIONAL AIRPORT SD US,8/30/1973,13,322,194,75.185
WATERTOWN REGIONAL AIRPORT SD US,8/31/1973,0,283,211,75.174
WATERTOWN REGIONAL AIRPORT SD US,9/1/1973,64,300,183,75.163
WATERTOWN REGIONAL AIRPORT SD US,9/2/1973,257,289,167,75.158
WATERTOWN REGIONAL AIRPORT SD US,9/3/1973,18,211,144,75.146
WATERTOWN REGIONAL AIRPORT SD US,9/4/1973,0,228,139,75.138
WATERTOWN REGIONAL AIRPORT SD US,9/5/1973,0,244,117,75.124
WATERTOWN REGIONAL AIRPORT SD US,9/6/1973,0,244,56,75.152
WATERTOWN REGIONAL AIRPORT SD US,9/7/1973,0,250,94,75.16
WATERTOWN REGIONAL AIRPORT SD US,9/8/1973,0,183,139,75.152
WATERTOWN REGIONAL AIRPORT SD US,9/9/1973,0,183,117,75.113
WATERTOWN REGIONAL AIRPORT SD US,9/10/1973,0,283,94,75.084
WATERTOWN REGIONAL AIRPORT SD US,9/11/1973,0,228,50,75.104
WATERTOWN REGIONAL AIRPORT SD US,9/12/1973,0,217,72,75.083
WATERTOWN REGIONAL AIRPORT SD US,9/13/1973,0,206,111,75.053
WATERTOWN REGIONAL AIRPORT SD US,9/14/1973,64,189,56,75.01
WATERTOWN REGIONAL AIRPORT SD US,9/15/1973,64,78,33,75.009
WATERTOWN REGIONAL AIRPORT SD US,9/16/1973,5,94,44,75.006
WATERTOWN REGIONAL AIRPORT SD US,9/17/1973,0,167,39,74.952
WATERTOWN REGIONAL AIRPORT SD US,9/18/1973,0,206,22,74.985
WATERTOWN REGIONAL AIRPORT SD US,9/19/1973,0,156,33,74.963
WATERTOWN REGIONAL AIRPORT SD US,9/20/1973,0,133,0,74.973
WATERTOWN REGIONAL AIRPORT SD US,9/21/1973,33,172,89,74.947
WATERTOWN REGIONAL AIRPORT SD US,9/22/1973,0,172,33,74.921
WATERTOWN REGIONAL AIRPORT SD US,9/23/1973,10,183,11,74.949
WATERTOWN REGIONAL AIRPORT SD US,9/24/1973,391,200,133,74.945
WATERTOWN REGIONAL AIRPORT SD US,9/25/1973,51,233,89,74.903
WATERTOWN REGIONAL AIRPORT SD US,9/26/1973,13,156,78,74.901
WATERTOWN REGIONAL AIRPORT SD US,9/27/1973,0,206,28,74.908
WATERTOWN REGIONAL AIRPORT SD US,9/28/1973,0,183,83,74.896
WATERTOWN REGIONAL AIRPORT SD US,9/29/1973,0,194,94,74.902
WATERTOWN REGIONAL AIRPORT SD US,9/30/1973,0,161,83,74.875
WATERTOWN REGIONAL AIRPORT SD US,10/1/1973,0,200,100,74.854
WATERTOWN REGIONAL AIRPORT SD US,10/2/1973,0,217,78,74.85
WATERTOWN REGIONAL AIRPORT SD US,10/3/1973,0,178,39,74.864
WATERTOWN REGIONAL AIRPORT SD US,10/4/1973,0,167,6,74.858
WATERTOWN REGIONAL AIRPORT SD US,10/5/1973,0,222,11,74.925
WATERTOWN REGIONAL AIRPORT SD US,10/6/1973,0,200,117,74.885
WATERTOWN REGIONAL AIRPORT SD US,10/7/1973,0,239,122,74.857
WATERTOWN REGIONAL AIRPORT SD US,10/8/1973,0,228,150,74.846
WATERTOWN REGIONAL AIRPORT SD US,10/9/1973,292,222,144,74.834
WATERTOWN REGIONAL AIRPORT SD US,10/10/1973,0,161,72,74.824
WATERTOWN REGIONAL AIRPORT SD US,10/11/1973,61,183,56,74.803
WATERTOWN REGIONAL AIRPORT SD US,10/12/1973,0,139,28,74.789
WATERTOWN REGIONAL AIRPORT SD US,10/13/1973,0,167,56,74.781
WATERTOWN REGIONAL AIRPORT SD US,10/14/1973,0,233,61,74.841
WATERTOWN REGIONAL AIRPORT SD US,10/15/1973,0,144,39,74.828
WATERTOWN REGIONAL AIRPORT SD US,10/16/1973,0,106,6,74.857
WATERTOWN REGIONAL AIRPORT SD US,10/17/1973,0,183,33,74.822
WATERTOWN REGIONAL AIRPORT SD US,10/18/1973,0,189,-6,74.801
WATERTOWN REGIONAL AIRPORT SD US,10/19/1973,0,172,44,74.774
WATERTOWN REGIONAL AIRPORT SD US,10/20/1973,0,211,28,74.773
WATERTOWN REGIONAL AIRPORT SD US,10/21/1973,0,244,89,74.749
WATERTOWN REGIONAL AIRPORT SD US,10/22/1973,0,239,78,74.728
WATERTOWN REGIONAL AIRPORT SD US,10/23/1973,0,256,67,74.719
WATERTOWN REGIONAL AIRPORT SD US,10/24/1973,0,211,83,74.714
WATERTOWN REGIONAL AIRPORT SD US,10/25/1973,0,161,28,74.696
WATERTOWN REGIONAL AIRPORT SD US,10/26/1973,0,139,11,74.71
WATERTOWN REGIONAL AIRPORT SD US,10/27/1973,0,72,-33,74.708
WATERTOWN REGIONAL AIRPORT SD US,10/28/1973,0,78,-39,74.648
WATERTOWN REGIONAL AIRPORT SD US,10/29/1973,0,128,-56,74.647
WATERTOWN REGIONAL AIRPORT SD US,10/30/1973,0,122,22,74.69
WATERTOWN REGIONAL AIRPORT SD US,10/31/1973,0,100,11,74.675
WATERTOWN REGIONAL AIRPORT SD US,11/1/1973,0,67,-17,74.758
WATERTOWN REGIONAL AIRPORT SD US,11/2/1973,0,22,-17,74.717
WATERTOWN REGIONAL AIRPORT SD US,11/3/1973,0,22,-61,74.775
WATERTOWN REGIONAL AIRPORT SD US,11/4/1973,0,-6,-106,74.74
WATERTOWN REGIONAL AIRPORT SD US,11/5/1973,0,-33,-117,74.719
WATERTOWN REGIONAL AIRPORT SD US,11/6/1973,0,6,-61,74.755
WATERTOWN REGIONAL AIRPORT SD US,11/7/1973,0,17,-100,74.69
WATERTOWN REGIONAL AIRPORT SD US,11/8/1973,0,-22,-122,74.685
WATERTOWN REGIONAL AIRPORT SD US,11/9/1973,0,-17,-139,74.688
WATERTOWN REGIONAL AIRPORT SD US,11/10/1973,0,44,-67,74.669
WATERTOWN REGIONAL AIRPORT SD US,11/11/1973,0,117,-56,74.643
WATERTOWN REGIONAL AIRPORT SD US,11/12/1973,0,133,6,74.606
WATERTOWN REGIONAL AIRPORT SD US,11/13/1973,0,156,0,74.608
WATERTOWN REGIONAL AIRPORT SD US,11/14/1973,0,133,0,74.616
WATERTOWN REGIONAL AIRPORT SD US,11/15/1973,0,6,-33,74.612
WATERTOWN REGIONAL AIRPORT SD US,11/16/1973,0,28,-50,74.671
WATERTOWN REGIONAL AIRPORT SD US,11/17/1973,0,111,-11,74.679
WATERTOWN REGIONAL AIRPORT SD US,11/18/1973,0,28,-39,74.63
WATERTOWN REGIONAL AIRPORT SD US,11/19/1973,38,67,-22,74.622
WATERTOWN REGIONAL AIRPORT SD US,11/20/1973,107,17,-61,74.6
WATERTOWN REGIONAL AIRPORT SD US,11/21/1973,51,6,-72,74.575
WATERTOWN REGIONAL AIRPORT SD US,11/22/1973,0,33,-50,74.603
WATERTOWN REGIONAL AIRPORT SD US,11/23/1973,0,6,-78,74.603
WATERTOWN REGIONAL AIRPORT SD US,11/24/1973,0,22,-17,74.582
WATERTOWN REGIONAL AIRPORT SD US,11/25/1973,0,0,-33,74.622
WATERTOWN REGIONAL AIRPORT SD US,11/26/1973,0,22,-33,74.586
WATERTOWN REGIONAL AIRPORT SD US,11/27/1973,0,28,-56,74.578
WATERTOWN REGIONAL AIRPORT SD US,11/28/1973,0,-22,-89,74.623
WATERTOWN REGIONAL AIRPORT SD US,11/29/1973,0,106,-61,74.676
WATERTOWN REGIONAL AIRPORT SD US,11/30/1973,0,-17,-83,74.65
WATERTOWN REGIONAL AIRPORT SD US,12/1/1973,0,28,-83,74.633
WATERTOWN REGIONAL AIRPORT SD US,12/2/1973,0,17,-39,74.581
WATERTOWN REGIONAL AIRPORT SD US,12/3/1973,0,-17,-89,74.587
WATERTOWN REGIONAL AIRPORT SD US,12/4/1973,0,-50,-106,74.598
WATERTOWN REGIONAL AIRPORT SD US,12/5/1973,0,-83,-144,74.601
WATERTOWN REGIONAL AIRPORT SD US,12/6/1973,0,-28,-167,74.633
WATERTOWN REGIONAL AIRPORT SD US,12/7/1973,0,39,-106,74.619
WATERTOWN REGIONAL AIRPORT SD US,12/8/1973,0,72,-78,74.596
WATERTOWN REGIONAL AIRPORT SD US,12/9/1973,5,-78,-156,74.608
WATERTOWN REGIONAL AIRPORT SD US,12/10/1973,0,-78,-183,74.621
