STATION,DATE,PRCP,TMAX,TMIN,WL
WATERTOWN REGIONAL AIRPORT SD US,1/1/1973,0,-78,-211,74.998
WATERTOWN REGIONAL AIRPORT SD US,1/2/1973,0,-6,-161,75.007
WATERTOWN REGIONAL AIRPORT SD US,1/3/1973,20,-11,-194,74.946
WATERTOWN REGIONAL AIRPORT SD US,1/4/1973,0,-189,-244,75.009
WATERTOWN REGIONAL AIRPORT SD US,1/5/1973,0,-178,-278,75.069
WATERTOWN REGIONAL AIRPORT SD US,1/6/1973,0,-150,-283,75.056
WATERTOWN REGIONAL AIRPORT SD US,1/7/1973,10,-172,-217,75.041
WATERTOWN REGIONAL AIRPORT SD US,1/8/1973,3,-211,-278,75.024
WATERTOWN REGIONAL AIRPORT SD US,1/9/1973,0,-178,-300,75.06
WATERTOWN REGIONAL AIRPORT SD US,1/10/1973,0,-122,-222,75.057
WATERTOWN REGIONAL AIRPORT SD US,1/11/1973,0,-94,-200,75.062
WATERTOWN REGIONAL AIRPORT SD US,1/12/1973,0,-22,-178,75.076
WATERTOWN REGIONAL AIRPORT SD US,1/13/1973,0,28,-122,75.025
WATERTOWN REGIONAL AIRPORT SD US,1/14/1973,0,50,-61,75.036
WATERTOWN REGIONAL AIRPORT SD US,1/15/1973,0,33,-89,75.054
WATERTOWN REGIONAL AIRPORT SD US,1/16/1973,0,61,-28,75.058
WATERTOWN REGIONAL AIRPORT SD US,1/17/1973,0,33,-56,75.042
WATERTOWN REGIONAL AIRPORT SD US,1/18/1973,0,17,-67,75.041
WATERTOWN REGIONAL AIRPORT SD US,1/19/1973,0,-39,-111,75.055
WATERTOWN REGIONAL AIRPORT SD US,1/20/1973,38,-56,-122,75.107
WATERTOWN REGIONAL AIRPORT SD US,1/21/1973,5,-39,-67,75.052
WATERTOWN REGIONAL AIRPORT SD US,1/22/1973,10,-22,-117,75.043
WATERTOWN REGIONAL AIRPORT SD US,1/23/1973,0,11,-144,75.106
WATERTOWN REGIONAL AIRPORT SD US,1/24/1973,0,56,-78,75.139
WATERTOWN REGIONAL AIRPORT SD US,1/25/1973,0,67,-61,75.116
WATERTOWN REGIONAL AIRPORT SD US,1/26/1973,0,39,-89,75.114
WATERTOWN REGIONAL AIRPORT SD US,1/27/1973,0,-44,-111,75.117
WATERTOWN REGIONAL AIRPORT SD US,1/28/1973,0,-44,-144,75.128
WATERTOWN REGIONAL AIRPORT SD US,1/29/1973,0,-17,-122,75.187
WATERTOWN REGIONAL AIRPORT SD US,1/30/1973,0,6,-111,75.172
WATERTOWN REGIONAL AIRPORT SD US,1/31/1973,0,-11,-44,75.117
WATERTOWN REGIONAL AIRPORT SD US,2/1/1973,0,17,-78,75.101
WATERTOWN REGIONAL AIRPORT SD US,2/2/1973,0,33,-72,75.128
WATERTOWN REGIONAL AIRPORT SD US,2/3/1973,0,78,-78,75.246
WATERTOWN REGIONAL AIRPORT SD US,2/4/1973,0,6,-72,75.222
WATERTOWN REGIONAL AIRPORT SD US,2/5/1973,0,11,-94,75.214
WATERTOWN REGIONAL AIRPORT SD US,2/6/1973,0,-72,-133,75.196
WATERTOWN REGIONAL AIRPORT SD US,2/7/1973,0,-78,-150,75.224
WATERTOWN REGIONAL AIRPORT SD US,2/8/1973,0,-50,-178,75.261
WATERTOWN REGIONAL AIRPORT SD US,2/9/1973,0,-56,-150,75.254
WATERTOWN REGIONAL AIRPORT SD US,2/10/1973,0,-39,-172,75.257
WATERTOWN REGIONAL AIRPORT SD US,2/11/1973,0,17,-78,75.237
WATERTOWN REGIONAL AIRPORT SD US,2/12/1973,0,17,-50,75.232
WATERTOWN REGIONAL AIRPORT SD US,2/13/1973,112,-11,-183,75.229
WATERTOWN REGIONAL AIRPORT SD US,2/14/1973,0,-150,-206,75.21
WATERTOWN REGIONAL AIRPORT SD US,2/15/1973,0,-156,-256,75.246
WATERTOWN REGIONAL AIRPORT SD US,2/16/1973,0,-144,-294,75.255
WATERTOWN REGIONAL AIRPORT SD US,2/17/1973,0,22,-161,75.23
WATERTOWN REGIONAL AIRPORT SD US,2/18/1973,0,22,-89,75.237
WATERTOWN REGIONAL AIRPORT SD US,2/19/1973,0,0,-67,75.215
WATERTOWN REGIONAL AIRPORT SD US,2/20/1973,0,33,-106,75.207
WATERTOWN REGIONAL AIRPORT SD US,2/21/1973,0,0,-183,75.205
WATERTOWN REGIONAL AIRPORT SD US,2/22/1973,0,72,-50,75.235
WATERTOWN REGIONAL AIRPORT SD US,2/23/1973,0,44,-44,75.231
WATERTOWN REGIONAL AIRPORT SD US,2/24/1973,0,-11,-72,75.227
WATERTOWN REGIONAL AIRPORT SD US,2/25/1973,0,0,-72,75.201
WATERTOWN REGIONAL AIRPORT SD US,2/26/1973,0,-11,-56,75.193
WATERTOWN REGIONAL AIRPORT SD US,2/27/1973,0,28,-11,75.175
WATERTOWN REGIONAL AIRPORT SD US,2/28/1973,0,39,-11,75.16
WATERTOWN REGIONAL AIRPORT SD US,3/1/1973,0,11,-17,75.155
WATERTOWN REGIONAL AIRPORT SD US,3/2/1973,0,44,-22,75.17
WATERTOWN REGIONAL AIRPORT SD US,3/3/1973,0,61,-39,75.158
WATERTOWN REGIONAL AIRPORT SD US,3/4/1973,0,44,-44,75.181
WATERTOWN REGIONAL AIRPORT SD US,3/5/1973,94,22,-6,75.165
WATERTOWN REGIONAL AIRPORT SD US,3/6/1973,38,67,6,75.171
WATERTOWN REGIONAL AIRPORT SD US,3/7/1973,0,33,-6,75.173
