vec.p,slope
1,s
175,+
430,-
543,+
708,-
787,0
909,+
991,-
1008,+
1299,0
1463,-
1634,+
1671,0
1870,-
2002,+
2188,-
2320,+
2543,-
2663,+
2755,0
2886,-
3041,+
3124,0
3287,-
