"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1973-01-01",-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
" 1973-01-02",-8,0,0,0,.4407,2.4564,0,9297.8405,18.0856,1.94514444585684,11.4329,1.22962715623707,.1581,1.70040028836195E-02,0,.4249710054176669710822198855,0,.0090428213917985570173817949,0,10.998863331533363061759747236,0,0,0,0,.0214495723413461772452296175,0,.1366509341271748893197870281,0,211
" 1973-01-03",-10,.2,0,0,.4142,2.309,0,8739.9701,17.0005,1.94514444585684,10.7469,1.22962715623707,.1486,1.70040028836195E-02,0,.3994727450926069528172866927,0,.0085002521082906435963388872,0,10.338931531641361278054162409,0,0,0,0,.0201625980008654066105158405,0,.1284518780795443959605998065,0,211
" 1973-01-04",-22,0,0,0,.3894,2.1705,0,8215.5719,15.9805,1.94514444585684,10.1021,1.22962715623707,.1397,1.70040028836195E-02,0,.3755043803870505356482494907,0,.007990236981793204980558554,0,9.718595639742879601370912652,0,0,0,0,.0189528421208134822138848901,0,.120744765394771732202963818,0,211
" 1973-01-05",-23,0,0,0,.366,2.0402,0,7722.6375,15.0216,1.94514444585684,9.496,1.22962715623707,.1313,1.70040028836195E-02,0,.3529741175638275035093545215,0,.0075108227628856126817250407,0,9.135479901358306825288657901,0,0,0,0,.0178156715935646732810517967,0,.113500079471085428270785989,0,211
" 1973-01-06",-22,0,0,0,.3441,1.9178,0,7259.2793,14.1203,1.94514444585684,8.9262,1.22962715623707,.1234,1.70040028836195E-02,0,.33179567050999785329879325,0,.0070601733971124759208215383,0,8.587351107276808415771338422,0,0,0,0,.0167467312979507928841886889,0,.1066900747028203025745388296,0,211
" 1973-01-07",-19,.1,0,0,.3234,1.8028,0,6823.7225,13.2731,1.94514444585684,8.3906,1.22962715623707,.116,1.70040028836195E-02,0,.3118879302793979821008656554,0,.006636562993285727365572246,0,8.072110040840199910825058126,0,0,0,0,.0157419274200737453111373675,0,.1002886702206510844200664999,0,211
" 1973-01-08",-24,.03,0,0,.304,1.6946,0,6414.2992,12.4767,1.94514444585684,7.8872,1.22962715623707,.1091,1.70040028836195E-02,0,.2931746544626341031748137156,0,.0062383692136885837236379112,0,7.5877834383897879161755546254,0,0,0,0,.0147974117748693205924691255,0,.0942713500074120193548625098,0,211
" 1973-01-09",-24,0,0,0,.2858,1.5929,0,6029.4412,11.7281,1.94514444585684,7.414,1.22962715623707,.1025,1.70040028836195E-02,0,.2755841751948760569843248929,0,.0058640670608672687002196366,0,7.1325164320864006412050213539,0,0,0,0,.013909567068377161356920978,0,.0886150690069672981935707593,0,211
" 1973-01-10",-17,0,0,0,.2686,1.4973,0,5667.6748,11.0244,1.94514444585684,6.9691,1.22962715623707,.0964,1.70040028836195E-02,0,.2590491246831834935652653994,0,.0055122230372152325782064584,0,6.7045654461612166027327200762,0,0,0,0,.0130749930442745316755057193,0,.0832981648665492603019565137,0,211
