"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1933-02-09",-26,0,0,0,.0483,.2694,0,1019.6319,4.2804,4.19802166225947,1.2852,1.26047711521515,.0201,.019675915262273,0,.0769107769530977254782826242,0,.0021402184911857082862159354,0,1.2061717340868049736660146219,0,0,0,0,.0050765982610925000549041988,0,.0149855934392975076700115069,0,211
" 1933-02-10",-16,0,0,0,.0454,.2532,0,958.454,4.0236,4.19802166225947,1.2081,1.26047711521515,.0189,.019675915262273,0,.0722961303359118619495856668,0,.0020118053817145657890429793,0,1.1338014300415966752460537454,0,0,0,0,.0047720023654269500516099469,0,.0140864578329396572098108165,0,211
" 1933-02-11",-19,0,0,0,.0427,.238,0,900.9468,3.7822,4.19802166225947,1.1356,1.26047711521515,.0177,.019675915262273,0,.0679583625157571502326105269,0,.0018910970588116918417004006,0,1.0657733442391008747312905221,0,0,0,0,.0044856822235013330485133501,0,.0132412703629632777772221675,0,211
" 1933-02-12",-15,0,0,0,.0401,.2237,0,846.89,3.5553,4.19802166225947,1.0675,1.26047711521515,.0167,.019675915262273,0,.0638808607648117212186538951,0,.0017776312352829903311983765,0,1.0018269435847548222474130879,0,0,0,0,.0042165412900912530656025491,0,.0124467941411854811105888374,0,211
" 1933-02-13",-14,0,0,0,.0377,.2103,0,796.0766,3.3419,4.19802166225947,1.0034,1.26047711521515,.0157,.019675915262273,0,.0600480091189230179455346614,0,.0016709733611660109113264739,0,.9417173269696695329125683039,0,0,0,0,.0039635488126857778816663961,0,.0116999864927143522439535072,0,211
" 1933-02-14",-14,0,0,0,.0355,.1977,0,748.312,3.1414,4.19802166225947,.9432,1.26047711521515,.0147,.019675915262273,0,.0564451285717876368688025818,0,.0015707149594960502566468855,0,.8852142873514893609378142059,0,0,0,0,.0037257358839246312087664124,0,.0109979873031514911093162968,0,211
" 1933-02-15",-11,0,0,0,.0333,.1858,0,703.4133,2.9529,4.19802166225947,.8866,1.26047711521515,.0138,.019675915262273,0,.0530584208574803786566744269,0,.0014764720619262872412480724,0,.8321014301103999992815453536,0,0,0,0,.0035021917308891533362404276,0,.0103381080649624016427573189,0,211
" 1933-02-16",-5,0,0,0,.0313,.1747,0,661.2085,2.7758,4.19802166225947,.8334,1.26047711521515,.013,.019675915262273,0,.0498749156060315559372739613,0,.001387883738210710006773188,0,.7821753443037759993246526328,0,0,0,0,.003292060227035804136066002,0,.0097178215810646575441918798,0,211
" 1933-02-17",-5,0,0,0,.0295,.1642,0,621.536,2.6092,4.19802166225947,.7834,1.26047711521515,.0122,.019675915262273,0,.0468824206696696625810375235,0,.0013046107139180674063667967,0,.735244823645549439365173473,0,0,0,0,.0030945366134136558879020418,0,.009134752286200778091540367,0,211
" 1933-02-18",-2,0,0,0,.0277,.1544,0,584.2438,2.4527,4.19802166225947,.7364,1.26047711521515,.0115,.019675915262273,0,.0440694754294894828261752721,0,.0012263340710829833619847889,0,.6911301342268164730032630645,0,0,0,0,.0029088644166088365346279193,0,.008586667149028731406047945,0,211
