"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1933-01-01",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
" 1933-01-02",-3,0,0,0,.5364,.7227,0,2735.4442,2.048,.74870479560008,1.0045,.367199722129515,.0307,1.12345068664686E-02,0,0,0,.0010240200886341500225544379,0,1.0034303234958080643600000004,0,0,0,0,.0014674207870127369823205094,0,.0292639456601367980453640001,0,51
" 1933-01-03",-2,0,0,0,.5042,.6793,0,2571.3175,1.9252,.74870479560008,.9442,.367199722129515,.0289,1.12345068664686E-02,0,0,0,.0009625788833161010212011716,0,.9432245040860595804984000001,0,0,0,0,.0013793755397919727633812789,0,.0275081089205285901626421601,0,51
" 1933-01-04",-5,0,0,0,.474,.6386,0,2417.0385,1.8096,.74870479560008,.8875,.367199722129515,.0272,1.12345068664686E-02,0,0,0,.0009048241503171349599291013,0,.886631033840896005668496,0,0,0,0,.0012966130074044543975784021,0,.0258576223852968747528836305,0,51
" 1933-01-05",-2,0,0,0,.4455,.6002,0,2272.0162,1.7011,.74870479560008,.8343,.367199722129515,.0255,1.12345068664686E-02,0,0,0,.0008505347012981068623333552,0,.8334331718104422453283862398,0,0,0,0,.001218816226960187133723698,0,.0243061650421790622677106126,0,51
" 1933-01-06",-1,.2,0,0,.4188,.5642,0,2135.6952,1.599,.74870479560008,.7842,.367199722129515,.024,1.12345068664686E-02,0,0,0,.0007995026192202204505933539,0,.7834271815018157106086830653,0,0,0,0,.0011456872533425759057002761,0,.0228477951396483185316479759,0,51
" 1933-01-07",-4,0,0,0,.3937,.5304,0,2007.5535,1.5031,.74870479560008,.7372,.367199722129515,.0226,1.12345068664686E-02,0,0,0,.0007515324620670072235577527,0,.736421550611706767972162081,0,0,0,0,.0010769460181420213513582596,0,.0214769274312694194197490973,0,51
" 1933-01-08",-3,0,0,0,.37,.4986,0,1887.1003,1.4129,.74870479560008,.6929,.367199722129515,.0212,1.12345068664686E-02,0,0,0,.0007064405143429867901442875,0,.6922362575750043618938323564,0,0,0,0,.001012329257053500070276764,0,.0201883117853932542545641515,0,51
" 1933-01-09",-1,0,0,0,.3478,.4686,0,1773.8743,1.3281,.74870479560008,.6514,.367199722129515,.0199,1.12345068664686E-02,0,0,0,.0006640540834824075827356303,0,.6507020821205041001802024161,0,0,0,0,.0009515895016302900660601582,0,.0189770130782696589992903024,0,51
" 1933-01-10",-5,0,0,0,.327,.4405,0,1667.4418,1.2484,.74870479560008,.6123,.367199722129515,.0187,1.12345068664686E-02,0,0,0,.0006242108384734631277714924,0,.611659957193273854169390271,0,0,0,0,.0008944941315324726620965487,0,.0178383922935734794593328843,0,51
