"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 2005-01-01",-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
" 2005-01-02",-14,0,0,0,.5364,.7227,0,2735.4442,2.0582,.752420911564372,1.0045,.367201580187497,.0307,.011237169463557,0,0,0,.0010291027025314999810837285,0,1.0034303234958080643599999997,0,0,0,0,.001474704172727639472892983,0,.0292639456601367980453639999,0,51
" 2005-01-03",-13,0,0,0,.5042,.6793,0,2571.3175,1.9347,.752420911564372,.9442,.367201580187497,.0289,.011237169463557,0,0,0,.0009673565403796099822187048,0,.9432245040860595804984000003,0,0,0,0,.001386221922363981104519404,0,.0275081089205285901626421599,0,51
" 2005-01-04",-16,0,0,0,.474,.6386,0,2417.0385,1.8186,.752420911564372,.8875,.367201580187497,.0272,.011237169463557,0,0,0,.0009093151479568333832855825,0,.886631033840896005668496,0,0,0,0,.0013030486070221422382482398,0,.0258576223852968747528836303,0,51
" 2005-01-05",-18,0,0,0,.4455,.6002,0,2272.0162,1.7095,.752420911564372,.8343,.367201580187497,.0255,.011237169463557,0,0,0,.0008547562390794233802884476,0,.8334331718104422453283862406,0,0,0,0,.0012248656906008137039533454,0,.0243061650421790622677106125,0,51
" 2005-01-06",-16,0,0,0,.4188,.5642,0,2135.6952,1.6069,.752420911564372,.7842,.367201580187497,.024,.011237169463557,0,0,0,.0008034708647346579774711407,0,.7834271815018157106086830659,0,0,0,0,.0011513737491647648817161447,0,.0228477951396483185316479758,0,51
" 2005-01-07",-13,0,0,0,.3937,.5304,0,2007.5535,1.5105,.752420911564372,.7372,.367201580187497,.0226,.011237169463557,0,0,0,.0007552626128505784988228723,0,.7364215506117067679721620817,0,0,0,0,.001082291324214878988813176,0,.0214769274312694194197490972,0,51
" 2005-01-08",-13,0,0,0,.37,.4986,0,1887.1003,1.4199,.752420911564372,.6929,.367201580187497,.0212,.011237169463557,0,0,0,.0007099468560795437888934999,0,.6922362575750043618938323563,0,0,0,0,.0010173538447619862494843854,0,.0201883117853932542545641514,0,51
" 2005-01-09",-10,0,0,0,.3478,.4686,0,1773.8743,1.3347,.752420911564372,.6514,.367201580187497,.0199,.011237169463557,0,0,0,.0006673500447147711615598899,0,.6507020821205041001802024147,0,0,0,0,.0009563126140762670745153223,0,.0189770130782696589992903023,0,51
" 2005-01-10",-14,.08,0,0,.327,.4405,0,1667.4418,1.2546,.752420911564372,.6123,.367201580187497,.0187,.011237169463557,0,0,0,.0006273090420318848918662965,0,.6116599571932738541693902704,0,0,0,0,.000898933857231691050044403,0,.0178383922935734794593328842,0,51
