"Site","Month","TP","TN"
"DR",1,NA,NA
"DR",2,NA,NA
"DR",3,NA,27.611
"DR",4,2.680554811,35.4818333333333
"DR",5,2.599817511,38.9388571428571
"DR",6,1.734865137,29.09
"DR",7,2.2622420405,17.4875
"DR",8,NA,38.812
"DR",9,NA,18.432
"DR",10,NA,NA
"DR",11,3.469979252,34.012
"DR",12,NA,NA
