"Site","Month","TP","TN"
"DB",1,NA,NA
"DB",2,NA,NA
"DB",3,2.877591159,20.0055
"DB",4,3.585543263,62.1863636363636
"DB",5,1.9557735345,21.3715
"DB",6,3.19235760766667,19.8201428571429
"DB",7,NA,16.08925
"DB",8,NA,22.719
"DB",9,NA,35.433
"DB",10,NA,NA
"DB",11,NA,15.769
"DB",12,NA,NA
