"Site","Month","TP","TN"
"BF",1,NA,NA
"BF",2,NA,NA
"BF",3,3.908430556,50.8155
"BF",4,1.359771638,45.1913333333333
"BF",5,1.7939749465,53.4802222222222
"BF",6,2.9244797705,51.8838333333333
"BF",7,4.807202486,57.647
"BF",8,NA,48.502
"BF",9,2.692716918,52.243
"BF",10,NA,NA
"BF",11,2.874402335,66.64
"BF",12,NA,NA
