"Site","Month","TP","TN"
"PT",1,NA,NA
"PT",2,NA,NA
"PT",3,NA,56.269
"PT",4,2.160381331,45.6301666666667
"PT",5,3.920341425,58.5621
"PT",6,3.75857348075,45.5596666666667
"PT",7,2.5886725825,68.8915
"PT",8,NA,NA
"PT",9,2.352736466,111.414
"PT",10,NA,NA
"PT",11,1.740141038,51.609
"PT",12,NA,NA
