"Site","Month","TP","TN"
"CB",1,NA,NA
"CB",2,NA,NA
"CB",3,0.803465819,25.9646
"CB",4,0.922088321,31.3981666666667
"CB",5,1.02049356675,26.8796923076923
"CB",6,0.919730669,24.0428
"CB",7,NA,27.1188
"CB",8,NA,26.8243333333333
"CB",9,NA,22.078
"CB",10,NA,NA
"CB",11,0.882255265,17.737
"CB",12,NA,NA
