Date,Site,Sample Type,Site Type,TDN (micro.mols/L),TDP (micro.mols/L)
6/18/12,DB,sw,u,25.822,0.739335441
7/17/12,DB,sw,u,43.572,0.368053451
4/4/13,DB,sw,m,48.561,0.826505996
5/15/13,DB,sw,u,37.807,#DIV/0!
6/11/13,DB,sw,u,40.88133333,1.168731135
7/1/13,DB,sw,u,26.907,1.296258427
8/5/13,DB,sw,u,25.332,0.256668854
10/16/13,DB,sw,u,380.5,0.410024459
