"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1933-01-11",-13,0,0,0,.2969,1.0353,0,3918.809,5.0536,1.28957355843646,5.9499,1.51828557350322,.0696,1.77492768135508E-02,0,.2368409622078354841939844923,0,.0025267962047721512399029535,0,5.7105033439999988124000000008,0,0,0,0,.0066947465445438177476824048,0,.0628612783856002018920000001,0,132
" 1933-01-12",-9,.08,0,0,.2791,.9732,0,3683.8652,4.7506,1.28957355843646,5.5932,1.51828557350322,.0654,1.77492768135508E-02,0,.2226416724560689917094680763,0,.0023753075808417225027177984,0,5.3681424159999988836000000039,0,0,0,0,.0062933774354401466263999972,0,.0590925658384001897880000002,0,132
" 1933-01-13",-11,0,0,0,.2623,.9147,0,3462.1205,4.4647,1.28957355843646,5.2565,1.51828557350322,.0615,1.77492768135508E-02,0,.2092400956117051111622840431,0,.0022323295537613178518913598,0,5.0450152479999989508000000054,0,0,0,0,.0059145571526906143321559271,0,.0555355787152001783640000002,0,132
" 1933-01-14",-7,0,0,0,.2466,.8599,0,3254.8949,4.1974,1.28957355843646,4.9419,1.51828557350322,.0578,1.77492768135508E-02,0,.1967160029654841037461656309,0,.0020987131832159396960595094,0,4.7430452159999990136000000012,0,0,0,0,.0055605405789306347476540283,0,.0522114895584001676880000001,0,132
" 1933-01-15",-2,0,0,0,.2318,.8083,0,3059.5484,3.9455,1.28957355843646,4.6453,1.51828557350322,.0543,1.77492768135508E-02,0,.1849098519359254470736463635,0,.001972756349835583217950504,0,4.4583855679999990727999999999,0,0,0,0,.0052268179488893801074866333,0,.0490779532832001576240000001,0,132
" 1933-01-16",-15,0,0,0,.2179,.7598,0,2876.0811,3.7089,1.28957355843646,4.3667,1.51828557350322,.051,1.77492768135508E-02,0,.1738216425230291411447262408,0,.0018544590536202484175643435,0,4.1910363039999991284000000015,0,0,0,0,.004913389262566850411653742,0,.0461349698896001481720000001,0,132
" 1933-01-17",-16,0,0,0,.2048,.7142,0,2703.173,3.4859,1.28957355843646,4.1042,1.51828557350322,.048,1.77492768135508E-02,0,.1633716034360549247656720242,0,.0017429702348849328862651562,0,3.9390740479999991807999999963,0,0,0,0,.0046179996373276317774515207,0,.0433613668352001392640000001,0,132
" 1933-01-18",-7,0,0,0,.1925,.6713,0,2540.8243,3.2766,1.28957355843646,3.8577,1.51828557350322,.0451,1.77492768135508E-02,0,.1535597346750027979364837142,0,.0016382898936296366240529423,0,3.7024987999999992299999999985,0,0,0,0,.0043406490731717242048799694,0,.0407571441200001309000000001,0,132
" 1933-01-19",-9,0,0,0,.181,.6312,0,2389.0348,3.0808,1.28957355843646,3.6272,1.51828557350322,.0424,1.77492768135508E-02,0,.1443860362398727606571613103,0,.0015404180298543596309277015,0,3.4813105599999992759999999938,0,0,0,0,.0040813375700991276939390881,0,.03832230174400012308,0,132
" 1933-01-20",-2,0,0,0,.1701,.5932,0,2245.1647,2.8953,1.28957355843646,3.4088,1.51828557350322,.0399,1.77492768135508E-02,0,.1356909655491842905402383368,0,.0014476525241890970896176908,0,3.2716625759999993196000000053,0,0,0,0,.0038355553628390144792212093,0,.0360144946224001156680000001,0,132
