Date,Site,Sample Type,Site Type,TDN (micro.mols/L),TDP (micro.mols/L)
6/18/12,PT,sw,u,NA,1.133217205
7/17/12,PT,sw,u,NA,0.803906222
8/20/12,PT,sw,u,NA,0.936276323
9/30/12,PT,sw,u,NA,0.606965341
5/15/13,PT,sw,u,NA,2.095321841
6/11/13,PT,sw,u,NA,2.101778919
7/1/13,PT,sw,u,NA,3.579373622
8/5/13,PT,sw,u,NA,0.377739068
10/16/13,PT,sw,u,NA,1.28495854
