Date,Hour,Site,WL,AWL
5/24/2013,4:00,DL,75.15830612,75.11093612
5/24/2013,5:00,DL,75.1685102,75.1211402
5/24/2013,6:00,DL,75.1685102,75.1211402
5/24/2013,7:00,DL,75.1685102,75.1211402
5/24/2013,8:00,DL,75.1685102,75.1211402
5/24/2013,9:00,DL,75.1685102,75.1211402
5/24/2013,10:00,DL,75.1685102,75.1211402
5/24/2013,11:00,DL,75.17871429,75.13134429
5/24/2013,12:00,DL,75.1685102,75.1211402
5/24/2013,13:00,DL,75.17871429,75.13134429
5/24/2013,14:00,DL,75.1685102,75.1211402
5/24/2013,15:00,DL,75.1685102,75.1211402
5/24/2013,16:00,DL,75.1685102,75.1211402
5/24/2013,17:00,DL,75.1685102,75.1211402
5/24/2013,18:00,DL,75.1685102,75.1211402
5/24/2013,19:00,DL,75.17871429,75.13134429
5/24/2013,20:00,DL,75.17871429,75.13134429
5/24/2013,21:00,DL,75.17871429,75.13134429
5/24/2013,22:00,DL,75.1685102,75.1211402
5/24/2013,23:00,DL,75.1685102,75.1211402
5/25/2013,0:00,DL,75.1685102,75.1211402
5/25/2013,1:00,DL,75.1685102,75.1211402
5/25/2013,2:00,DL,75.17871429,75.13134429
5/25/2013,3:00,DL,75.17871429,75.13134429
5/25/2013,4:00,DL,75.17871429,75.13134429
5/25/2013,5:00,DL,75.17871429,75.13134429
5/25/2013,6:00,DL,75.17871429,75.13134429
5/25/2013,7:00,DL,75.17871429,75.13134429
5/25/2013,8:00,DL,75.17871429,75.13134429
5/25/2013,9:00,DL,75.17871429,75.13134429
5/25/2013,10:00,DL,75.17871429,75.13134429
5/25/2013,11:00,DL,75.17871429,75.13134429
5/25/2013,12:00,DL,75.17871429,75.13134429
5/25/2013,13:00,DL,75.17871429,75.13134429
5/25/2013,14:00,DL,75.17871429,75.13134429
5/25/2013,15:00,DL,75.1685102,75.1211402
5/25/2013,16:00,DL,75.17871429,75.13134429
5/25/2013,17:00,DL,75.17871429,75.13134429
5/25/2013,18:00,DL,75.1685102,75.1211402
5/25/2013,19:00,DL,75.17871429,75.13134429
5/25/2013,20:00,DL,75.17871429,75.13134429
5/25/2013,21:00,DL,75.17871429,75.13134429
5/25/2013,22:00,DL,75.17871429,75.13134429
5/25/2013,23:00,DL,75.17871429,75.13134429
5/26/2013,0:00,DL,75.17871429,75.13134429
5/26/2013,1:00,DL,75.17871429,75.13134429
5/26/2013,2:00,DL,75.17871429,75.13134429
5/26/2013,3:00,DL,75.18891837,75.14154837
5/26/2013,4:00,DL,75.18891837,75.14154837
5/26/2013,5:00,DL,75.17871429,75.13134429
5/26/2013,6:00,DL,75.17871429,75.13134429
5/26/2013,7:00,DL,75.17871429,75.13134429
5/26/2013,8:00,DL,75.17871429,75.13134429
5/26/2013,9:00,DL,75.17871429,75.13134429
5/26/2013,10:00,DL,75.18891837,75.14154837
5/26/2013,11:00,DL,75.17871429,75.13134429
5/26/2013,12:00,DL,75.1685102,75.1211402
5/26/2013,13:00,DL,75.17871429,75.13134429
5/26/2013,14:00,DL,75.17871429,75.13134429
5/26/2013,15:00,DL,75.17871429,75.13134429
5/26/2013,16:00,DL,75.17871429,75.13134429
5/26/2013,17:00,DL,75.17871429,75.13134429
5/26/2013,18:00,DL,75.17871429,75.13134429
5/26/2013,19:00,DL,75.17871429,75.13134429
5/26/2013,20:00,DL,75.17871429,75.13134429
5/26/2013,21:00,DL,75.17871429,75.13134429
5/26/2013,22:00,DL,75.17871429,75.13134429
5/26/2013,23:00,DL,75.17871429,75.13134429
5/27/2013,0:00,DL,75.18891837,75.14154837
5/27/2013,1:00,DL,75.18891837,75.14154837
5/27/2013,2:00,DL,75.17871429,75.13134429
5/27/2013,3:00,DL,75.17871429,75.13134429
5/27/2013,4:00,DL,75.18891837,75.14154837
5/27/2013,5:00,DL,75.17871429,75.13134429
5/27/2013,6:00,DL,75.18891837,75.14154837
5/27/2013,7:00,DL,75.17871429,75.13134429
5/27/2013,8:00,DL,75.18891837,75.14154837
5/27/2013,9:00,DL,75.17871429,75.13134429
5/27/2013,10:00,DL,75.1685102,75.1211402
5/27/2013,11:00,DL,75.17871429,75.13134429
5/27/2013,12:00,DL,75.1685102,75.1211402
5/27/2013,13:00,DL,75.17871429,75.13134429
5/27/2013,14:00,DL,75.17871429,75.13134429
5/27/2013,15:00,DL,75.1685102,75.1211402
5/27/2013,16:00,DL,75.17871429,75.13134429
5/27/2013,17:00,DL,75.17871429,75.13134429
5/27/2013,18:00,DL,75.17871429,75.13134429
5/27/2013,19:00,DL,75.1685102,75.1211402
5/27/2013,20:00,DL,75.18891837,75.14154837
5/27/2013,21:00,DL,75.18891837,75.14154837
5/27/2013,22:00,DL,75.17871429,75.13134429
5/27/2013,23:00,DL,75.18891837,75.14154837
5/28/2013,0:00,DL,75.17871429,75.13134429
5/28/2013,1:00,DL,75.17871429,75.13134429
5/28/2013,2:00,DL,75.17871429,75.13134429
5/28/2013,3:00,DL,75.17871429,75.13134429
5/28/2013,4:00,DL,75.17871429,75.13134429
5/28/2013,5:00,DL,75.17871429,75.13134429
5/28/2013,6:00,DL,75.17871429,75.13134429
5/28/2013,7:00,DL,75.17871429,75.13134429
5/28/2013,8:00,DL,75.17871429,75.13134429
5/28/2013,9:00,DL,75.17871429,75.13134429
5/28/2013,10:00,DL,75.17871429,75.13134429
5/28/2013,11:00,DL,75.17871429,75.13134429
5/28/2013,12:00,DL,75.17871429,75.13134429
5/28/2013,13:00,DL,75.17871429,75.13134429
5/28/2013,14:00,DL,75.17871429,75.13134429
5/28/2013,15:00,DL,75.1685102,75.1211402
5/28/2013,16:00,DL,75.17871429,75.13134429
5/28/2013,17:00,DL,75.17871429,75.13134429
5/28/2013,18:00,DL,75.17871429,75.13134429
