"Date","WL.igldm","AWL.igldm"
"2013-05-24",75.1689353720833,75.1215653720833
"2013-05-25",75.1770136083333,75.1296436083333
"2013-05-26",75.1795646295833,75.1321946295833
"2013-05-27",75.1804149683333,75.1330449683333
"2013-05-28",75.1787142895833,75.1313442895833
"2013-05-29",75.18211565,75.13474565
"2013-05-30",75.1765884370833,75.1292184370833
"2013-05-31",75.17488775625,75.12751775625
"2013-06-01",75.1727619041667,75.1253919041667
"2013-06-02",75.26289796,75.21552796
"2013-06-03",75.3173197291667,75.2699497291667
"2013-06-04",75.26672449,75.21935449
"2013-06-05",75.2271836729167,75.1798136729167
"2013-06-06",75.21102721,75.16365721
"2013-06-07",75.2590714295833,75.2117014295833
"2013-06-08",75.26034694,75.21297694
"2013-06-09",75.2348367354167,75.1874667354167
"2013-06-10",75.21485374,75.16748374
"2013-06-11",75.3100918379167,75.2627218379167
"2013-06-12",75.3717414983333,75.3243714983333
"2013-06-13",75.32794898,75.28057898
"2013-06-14",75.2828809525,75.2355109525
"2013-06-15",75.2429149666667,75.1955449666667
"2013-06-16",75.21740476,75.17003476
"2013-06-17",75.20507483,75.15770483
"2013-06-18",75.18636735,75.13899735
"2013-06-19",75.1748877558333,75.1275177558333
"2013-06-20",75.1795646291667,75.1321946291667
"2013-06-21",75.1774387770833,75.1300687770833
"2013-06-22",75.1761632670833,75.1287932670833
"2013-06-23",75.1787142891667,75.1313442891667
"2013-06-24",75.173612245,75.126242245
"2013-06-25",75.1702108825,75.1228408825
"2013-06-26",75.173612245,75.126242245
"2013-06-27",75.1663843504167,75.1190143504167
"2013-06-28",75.1821156470833,75.1347456470833
"2013-06-29",75.18806803,75.14069803
"2013-06-30",75.18381633,75.13644633
"2013-07-01",75.18254082,75.13517082
"2013-07-02",75.1761632675,75.1287932675
"2013-07-03",75.1702108820833,75.1228408820833
"2013-07-04",75.1663843504167,75.1190143504167
"2013-07-05",75.1600068,75.1126368
"2013-07-06",75.1557551,75.1083851
"2013-07-07",75.15065306,75.10328306
"2013-07-08",75.1472517,75.0998817
"2013-07-09",75.13407143,75.08670143
"2013-07-10",75.12939456,75.08202456
"2013-07-11",75.12046598875,75.07309598875
"2013-07-12",75.1123877554167,75.0650177554167
"2013-07-13",75.10643537125,75.05906537125
"2013-07-14",75.09878231,75.05141231
"2013-07-15",75.09197959,75.04460959
"2013-07-16",75.08602721,75.03865721
"2013-07-17",75.08220068,75.03483068
"2013-07-18",75.07879932,75.03142932
"2013-07-19",75.0792244904167,75.0318544904167
"2013-07-20",75.1055850325,75.0582150325
"2013-07-21",75.08092517,75.03355517
"2013-07-22",75.06987075,75.02250075
"2013-07-23",75.0677449,75.0203749
"2013-07-24",75.06094217875,75.01357217875
"2013-07-25",75.04733673375,74.99996673375
"2013-07-26",75.03543197,74.98806197
"2013-07-27",75.02820408,74.98083408
"2013-07-28",75.0350068,74.9876368
"2013-07-29",75.03670748,74.98933748
"2013-07-30",75.02735374,74.97998374
"2013-07-31",75.01289796,74.96552796
"2013-08-01",75.01332313,74.96595313
"2013-08-02",75.00226871,74.95489871
"2013-08-03",75.00992177,74.96255177
"2013-08-04",74.9924897954167,74.9451197954167
"2013-08-05",74.97038095,74.92301095
"2013-08-06",74.94742177,74.90005177
"2013-08-07",74.922336735,74.874966735
"2013-08-08",74.8849217679167,74.8375517679167
"2013-08-09",74.8479319716667,74.8005619716667
"2013-08-10",74.8092414983333,74.7618714983333
"2013-08-11",74.7748027208333,74.7274327208333
"2013-08-12",74.7403639454167,74.6929939454167
"2013-08-13",74.72760884375,74.68023884375
"2013-08-14",74.6897687058333,74.6423987058333
"2013-08-15",74.643,74.59563
"2013-08-16",74.6068605441667,74.5594905441667
"2013-08-17",74.58305102,74.53568102
"2013-08-18",74.59453061,74.54716061
"2013-08-19",74.59793197,74.55056197
"2013-08-20",74.5902789104167,74.5429089104167
"2013-08-21",74.58560204,74.53823204
"2013-08-22",74.58985374,74.54248374
"2013-08-23",74.6060102033333,74.5586402033333
"2013-08-24",74.57539795875,74.52802795875
"2013-08-25",74.5498877545833,74.5025177545833
"2013-08-26",74.52862925,74.48125925
"2013-08-27",74.54903741375,74.50166741375
"2013-08-28",74.5571156466667,74.5097456466667
"2013-08-29",74.5248027216667,74.4774327216667
"2013-08-30",74.50992177,74.46255177
"2013-08-31",74.52990476,74.48253476
"2013-09-01",74.5413843508333,74.4940143508333
"2013-09-02",74.57667347,74.52930347
"2013-09-03",74.5975068,74.5501368
"2013-09-04",74.6166394579167,74.5692694579167
"2013-09-05",74.63194558,74.58457558
"2013-09-06",74.64342517,74.59605517
"2013-09-07",74.65107823,74.60370823
"2013-09-08",74.6634081608333,74.6160381608333
"2013-09-09",74.674037415,74.626667415
"2013-09-10",74.6850918395833,74.6377218395833
"2013-09-11",74.69529592,74.64792592
"2013-09-12",74.732710885,74.685340885
"2013-09-13",74.77777891,74.73040891
"2013-09-14",74.7875578208333,74.7401878208333
"2013-09-15",74.7986122466667,74.7512422466667
"2013-09-16",74.82667347,74.77930347
"2013-09-17",74.83517687,74.78780687
"2013-09-18",74.83602721,74.78865721
"2013-09-19",74.83560204,74.78823204
"2013-09-20",74.83645238,74.78908238
"2013-09-21",74.8598367341667,74.8124667341667
"2013-09-22",74.9274387754167,74.8800687754167
"2013-09-23",74.93806803,74.89069803
"2013-09-24",74.94444558,74.89707558
"2013-09-25",74.94912245,74.90175245
"2013-09-26",74.9512483,74.9038783
"2013-09-27",74.95507483,74.90770483
"2013-09-28",74.95805102,74.91068102
